exe,tag,threads,schedule,chunk,md5_ok,time_ms
a_tc1_auto,A_tc1_t1_auto,1,baked,baked,1,1934
a_tc1_auto,A_tc1_t2_auto,2,baked,baked,1,1717
a_tc1_auto,A_tc1_t4_auto,4,baked,baked,1,1557
a_tc1_auto,A_tc1_t8_auto,8,baked,baked,1,1494
a_tc1_auto,A_tc1_t16_auto,16,baked,baked,1,1474
a_tc1_auto,A_tc1_t32_auto,32,baked,baked,1,1453
a_tc1_dynamic,A_tc1_t1_dynamic,1,baked,baked,1,1931
a_tc1_dynamic,A_tc1_t2_dynamic,2,baked,baked,1,1667
a_tc1_dynamic,A_tc1_t4_dynamic,4,baked,baked,1,1538
a_tc1_dynamic,A_tc1_t8_dynamic,8,baked,baked,1,1478
a_tc1_dynamic,A_tc1_t16_dynamic,16,baked,baked,1,1445
a_tc1_dynamic,A_tc1_t32_dynamic,32,baked,baked,1,1432
a_tc1_dynamic_64,A_tc1_t1_dynamic_64,1,baked,baked,1,1923
a_tc1_dynamic_64,A_tc1_t2_dynamic_64,2,baked,baked,1,1665
a_tc1_dynamic_64,A_tc1_t4_dynamic_64,4,baked,baked,1,1527
a_tc1_dynamic_64,A_tc1_t8_dynamic_64,8,baked,baked,1,1462
a_tc1_dynamic_64,A_tc1_t16_dynamic_64,16,baked,baked,1,1439
a_tc1_dynamic_64,A_tc1_t32_dynamic_64,32,baked,baked,1,1436
a_tc1_dynamic_256,A_tc1_t1_dynamic_256,1,baked,baked,1,1941
a_tc1_dynamic_256,A_tc1_t2_dynamic_256,2,baked,baked,1,1686
a_tc1_dynamic_256,A_tc1_t4_dynamic_256,4,baked,baked,1,1557
a_tc1_dynamic_256,A_tc1_t8_dynamic_256,8,baked,baked,1,1480
a_tc1_dynamic_256,A_tc1_t16_dynamic_256,16,baked,baked,1,1453
a_tc1_dynamic_256,A_tc1_t32_dynamic_256,32,baked,baked,1,1455
a_tc1_dynamic_1024,A_tc1_t1_dynamic_1024,1,baked,baked,1,1935
a_tc1_dynamic_1024,A_tc1_t2_dynamic_1024,2,baked,baked,1,1704
a_tc1_dynamic_1024,A_tc1_t4_dynamic_1024,4,baked,baked,1,1566
a_tc1_dynamic_1024,A_tc1_t8_dynamic_1024,8,baked,baked,1,1505
a_tc1_dynamic_1024,A_tc1_t16_dynamic_1024,16,baked,baked,1,1474
a_tc1_dynamic_1024,A_tc1_t32_dynamic_1024,32,baked,baked,1,1447
a_tc1_guided,A_tc1_t1_guided,1,baked,baked,1,1978
a_tc1_guided,A_tc1_t2_guided,2,baked,baked,1,1694
a_tc1_guided,A_tc1_t4_guided,4,baked,baked,1,1556
a_tc1_guided,A_tc1_t8_guided,8,baked,baked,1,1502
a_tc1_guided,A_tc1_t16_guided,16,baked,baked,1,1457
a_tc1_guided,A_tc1_t32_guided,32,baked,baked,1,1468
a_tc1_guided_64,A_tc1_t1_guided_64,1,baked,baked,1,1981
a_tc1_guided_64,A_tc1_t2_guided_64,2,baked,baked,1,1701
a_tc1_guided_64,A_tc1_t4_guided_64,4,baked,baked,1,1565
a_tc1_guided_64,A_tc1_t8_guided_64,8,baked,baked,1,1508
a_tc1_guided_64,A_tc1_t16_guided_64,16,baked,baked,1,1470
a_tc1_guided_64,A_tc1_t32_guided_64,32,baked,baked,1,1464
a_tc1_guided_256,A_tc1_t1_guided_256,1,baked,baked,1,1943
a_tc1_guided_256,A_tc1_t2_guided_256,2,baked,baked,1,1665
a_tc1_guided_256,A_tc1_t4_guided_256,4,baked,baked,1,1552
a_tc1_guided_256,A_tc1_t8_guided_256,8,baked,baked,1,1499
a_tc1_guided_256,A_tc1_t16_guided_256,16,baked,baked,1,1452
a_tc1_guided_256,A_tc1_t32_guided_256,32,baked,baked,1,1429
a_tc1_guided_1024,A_tc1_t1_guided_1024,1,baked,baked,1,1908
a_tc1_guided_1024,A_tc1_t2_guided_1024,2,baked,baked,1,1679
a_tc1_guided_1024,A_tc1_t4_guided_1024,4,baked,baked,1,1526
a_tc1_guided_1024,A_tc1_t8_guided_1024,8,baked,baked,1,1457
a_tc1_guided_1024,A_tc1_t16_guided_1024,16,baked,baked,1,1469
a_tc1_guided_1024,A_tc1_t32_guided_1024,32,baked,baked,1,1429
a_tc1_static,A_tc1_t1_static,1,baked,baked,1,1963
a_tc1_static,A_tc1_t2_static,2,baked,baked,1,1681
a_tc1_static,A_tc1_t4_static,4,baked,baked,1,1531
a_tc1_static,A_tc1_t8_static,8,baked,baked,1,1479
a_tc1_static,A_tc1_t16_static,16,baked,baked,1,1431
a_tc1_static,A_tc1_t32_static,32,baked,baked,1,1450
a_tc1_static_64,A_tc1_t1_static_64,1,baked,baked,1,1954
a_tc1_static_64,A_tc1_t2_static_64,2,baked,baked,1,1710
a_tc1_static_64,A_tc1_t4_static_64,4,baked,baked,1,1573
a_tc1_static_64,A_tc1_t8_static_64,8,baked,baked,1,1505
a_tc1_static_64,A_tc1_t16_static_64,16,baked,baked,1,1474
a_tc1_static_64,A_tc1_t32_static_64,32,baked,baked,1,1461
a_tc1_static_256,A_tc1_t1_static_256,1,baked,baked,1,1959
a_tc1_static_256,A_tc1_t2_static_256,2,baked,baked,1,1693
a_tc1_static_256,A_tc1_t4_static_256,4,baked,baked,1,1585
a_tc1_static_256,A_tc1_t8_static_256,8,baked,baked,1,1624
a_tc1_static_256,A_tc1_t16_static_256,16,baked,baked,1,1485
a_tc1_static_256,A_tc1_t32_static_256,32,baked,baked,1,1441
a_tc1_static_1024,A_tc1_t1_static_1024,1,baked,baked,1,1950
a_tc1_static_1024,A_tc1_t2_static_1024,2,baked,baked,1,1714
a_tc1_static_1024,A_tc1_t4_static_1024,4,baked,baked,1,1553
a_tc1_static_1024,A_tc1_t8_static_1024,8,baked,baked,1,1528
a_tc1_static_1024,A_tc1_t16_static_1024,16,baked,baked,1,1466
a_tc1_static_1024,A_tc1_t32_static_1024,32,baked,baked,1,1448
a_tc2_auto,A_tc2_t1_auto,1,baked,baked,1,1646
a_tc2_auto,A_tc2_t2_auto,2,baked,baked,1,1510
a_tc2_auto,A_tc2_t4_auto,4,baked,baked,1,1481
a_tc2_auto,A_tc2_t8_auto,8,baked,baked,1,1469
a_tc2_auto,A_tc2_t16_auto,16,baked,baked,1,1430
a_tc2_auto,A_tc2_t32_auto,32,baked,baked,1,1417
a_tc2_dynamic,A_tc2_t1_dynamic,1,baked,baked,1,1672
a_tc2_dynamic,A_tc2_t2_dynamic,2,baked,baked,1,1576
a_tc2_dynamic,A_tc2_t4_dynamic,4,baked,baked,1,1482
a_tc2_dynamic,A_tc2_t8_dynamic,8,baked,baked,1,1445
a_tc2_dynamic,A_tc2_t16_dynamic,16,baked,baked,1,1410
a_tc2_dynamic,A_tc2_t32_dynamic,32,baked,baked,1,1424
a_tc2_dynamic_64,A_tc2_t1_dynamic_64,1,baked,baked,1,1652
a_tc2_dynamic_64,A_tc2_t2_dynamic_64,2,baked,baked,1,1543
a_tc2_dynamic_64,A_tc2_t4_dynamic_64,4,baked,baked,1,1469
a_tc2_dynamic_64,A_tc2_t8_dynamic_64,8,baked,baked,1,1436
a_tc2_dynamic_64,A_tc2_t16_dynamic_64,16,baked,baked,1,1450
a_tc2_dynamic_64,A_tc2_t32_dynamic_64,32,baked,baked,1,1447
a_tc2_dynamic_256,A_tc2_t1_dynamic_256,1,baked,baked,1,1691
a_tc2_dynamic_256,A_tc2_t2_dynamic_256,2,baked,baked,1,1576
a_tc2_dynamic_256,A_tc2_t4_dynamic_256,4,baked,baked,1,1512
a_tc2_dynamic_256,A_tc2_t8_dynamic_256,8,baked,baked,1,1490
a_tc2_dynamic_256,A_tc2_t16_dynamic_256,16,baked,baked,1,1455
a_tc2_dynamic_256,A_tc2_t32_dynamic_256,32,baked,baked,1,1464
a_tc2_dynamic_1024,A_tc2_t1_dynamic_1024,1,baked,baked,1,1705
a_tc2_dynamic_1024,A_tc2_t2_dynamic_1024,2,baked,baked,1,1576
a_tc2_dynamic_1024,A_tc2_t4_dynamic_1024,4,baked,baked,1,1492
a_tc2_dynamic_1024,A_tc2_t8_dynamic_1024,8,baked,baked,1,1429
a_tc2_dynamic_1024,A_tc2_t16_dynamic_1024,16,baked,baked,1,1449
a_tc2_dynamic_1024,A_tc2_t32_dynamic_1024,32,baked,baked,1,1456
a_tc2_guided,A_tc2_t1_guided,1,baked,baked,1,1673
a_tc2_guided,A_tc2_t2_guided,2,baked,baked,1,1574
a_tc2_guided,A_tc2_t4_guided,4,baked,baked,1,1511
a_tc2_guided,A_tc2_t8_guided,8,baked,baked,1,1472
a_tc2_guided,A_tc2_t16_guided,16,baked,baked,1,1448
a_tc2_guided,A_tc2_t32_guided,32,baked,baked,1,1461
a_tc2_guided_64,A_tc2_t1_guided_64,1,baked,baked,1,1670
a_tc2_guided_64,A_tc2_t2_guided_64,2,baked,baked,1,1558
a_tc2_guided_64,A_tc2_t4_guided_64,4,baked,baked,1,1460
a_tc2_guided_64,A_tc2_t8_guided_64,8,baked,baked,1,1430
a_tc2_guided_64,A_tc2_t16_guided_64,16,baked,baked,1,1424
a_tc2_guided_64,A_tc2_t32_guided_64,32,baked,baked,1,1416
a_tc2_guided_256,A_tc2_t1_guided_256,1,baked,baked,1,1650
a_tc2_guided_256,A_tc2_t2_guided_256,2,baked,baked,1,1531
a_tc2_guided_256,A_tc2_t4_guided_256,4,baked,baked,1,1572
a_tc2_guided_256,A_tc2_t8_guided_256,8,baked,baked,1,1486
a_tc2_guided_256,A_tc2_t16_guided_256,16,baked,baked,1,1423
a_tc2_guided_256,A_tc2_t32_guided_256,32,baked,baked,1,1426
a_tc2_guided_1024,A_tc2_t1_guided_1024,1,baked,baked,1,1667
a_tc2_guided_1024,A_tc2_t2_guided_1024,2,baked,baked,1,1542
a_tc2_guided_1024,A_tc2_t4_guided_1024,4,baked,baked,1,1470
a_tc2_guided_1024,A_tc2_t8_guided_1024,8,baked,baked,1,1469
a_tc2_guided_1024,A_tc2_t16_guided_1024,16,baked,baked,1,1470
a_tc2_guided_1024,A_tc2_t32_guided_1024,32,baked,baked,1,1468
a_tc2_static,A_tc2_t1_static,1,baked,baked,1,1699
a_tc2_static,A_tc2_t2_static,2,baked,baked,1,1580
a_tc2_static,A_tc2_t4_static,4,baked,baked,1,1532
a_tc2_static,A_tc2_t8_static,8,baked,baked,1,1462
a_tc2_static,A_tc2_t16_static,16,baked,baked,1,1465
a_tc2_static,A_tc2_t32_static,32,baked,baked,1,1437
a_tc2_static_64,A_tc2_t1_static_64,1,baked,baked,1,1701
a_tc2_static_64,A_tc2_t2_static_64,2,baked,baked,1,1587
a_tc2_static_64,A_tc2_t4_static_64,4,baked,baked,1,1513
a_tc2_static_64,A_tc2_t8_static_64,8,baked,baked,1,1500
a_tc2_static_64,A_tc2_t16_static_64,16,baked,baked,1,1473
a_tc2_static_64,A_tc2_t32_static_64,32,baked,baked,1,1457
a_tc2_static_256,A_tc2_t1_static_256,1,baked,baked,1,1696
a_tc2_static_256,A_tc2_t2_static_256,2,baked,baked,1,1562
a_tc2_static_256,A_tc2_t4_static_256,4,baked,baked,1,1439
a_tc2_static_256,A_tc2_t8_static_256,8,baked,baked,1,1439
a_tc2_static_256,A_tc2_t16_static_256,16,baked,baked,1,1423
a_tc2_static_256,A_tc2_t32_static_256,32,baked,baked,1,1416
a_tc2_static_1024,A_tc2_t1_static_1024,1,baked,baked,1,1650
a_tc2_static_1024,A_tc2_t2_static_1024,2,baked,baked,1,1550
a_tc2_static_1024,A_tc2_t4_static_1024,4,baked,baked,1,1480
a_tc2_static_1024,A_tc2_t8_static_1024,8,baked,baked,1,1445
a_tc2_static_1024,A_tc2_t16_static_1024,16,baked,baked,1,1426
a_tc2_static_1024,A_tc2_t32_static_1024,32,baked,baked,1,1413
a_tc3_auto,A_tc3_t1_auto,1,baked,baked,1,1916
a_tc3_auto,A_tc3_t2_auto,2,baked,baked,1,1656
a_tc3_auto,A_tc3_t4_auto,4,baked,baked,1,1553
a_tc3_auto,A_tc3_t8_auto,8,baked,baked,1,1527
a_tc3_auto,A_tc3_t16_auto,16,baked,baked,1,1481
a_tc3_auto,A_tc3_t32_auto,32,baked,baked,1,1504
a_tc3_dynamic,A_tc3_t1_dynamic,1,baked,baked,1,1980
a_tc3_dynamic,A_tc3_t2_dynamic,2,baked,baked,1,1702
a_tc3_dynamic,A_tc3_t4_dynamic,4,baked,baked,1,1557
a_tc3_dynamic,A_tc3_t8_dynamic,8,baked,baked,1,1481
a_tc3_dynamic,A_tc3_t16_dynamic,16,baked,baked,1,1484
a_tc3_dynamic,A_tc3_t32_dynamic,32,baked,baked,1,1442
a_tc3_dynamic_64,A_tc3_t1_dynamic_64,1,baked,baked,1,1963
a_tc3_dynamic_64,A_tc3_t2_dynamic_64,2,baked,baked,1,1706
a_tc3_dynamic_64,A_tc3_t4_dynamic_64,4,baked,baked,1,1615
a_tc3_dynamic_64,A_tc3_t8_dynamic_64,8,baked,baked,1,1521
a_tc3_dynamic_64,A_tc3_t16_dynamic_64,16,baked,baked,1,1451
a_tc3_dynamic_64,A_tc3_t32_dynamic_64,32,baked,baked,1,1439
a_tc3_dynamic_256,A_tc3_t1_dynamic_256,1,baked,baked,1,1956
a_tc3_dynamic_256,A_tc3_t2_dynamic_256,2,baked,baked,1,1675
a_tc3_dynamic_256,A_tc3_t4_dynamic_256,4,baked,baked,1,1554
a_tc3_dynamic_256,A_tc3_t8_dynamic_256,8,baked,baked,1,1486
a_tc3_dynamic_256,A_tc3_t16_dynamic_256,16,baked,baked,1,1456
a_tc3_dynamic_256,A_tc3_t32_dynamic_256,32,baked,baked,1,1483
a_tc3_dynamic_1024,A_tc3_t1_dynamic_1024,1,baked,baked,1,1995
a_tc3_dynamic_1024,A_tc3_t2_dynamic_1024,2,baked,baked,1,1720
a_tc3_dynamic_1024,A_tc3_t4_dynamic_1024,4,baked,baked,1,2044
a_tc3_dynamic_1024,A_tc3_t8_dynamic_1024,8,baked,baked,1,1539
a_tc3_dynamic_1024,A_tc3_t16_dynamic_1024,16,baked,baked,1,1486
a_tc3_dynamic_1024,A_tc3_t32_dynamic_1024,32,baked,baked,1,1466
a_tc3_guided,A_tc3_t1_guided,1,baked,baked,1,1974
a_tc3_guided,A_tc3_t2_guided,2,baked,baked,1,1749
a_tc3_guided,A_tc3_t4_guided,4,baked,baked,1,1592
a_tc3_guided,A_tc3_t8_guided,8,baked,baked,1,1496
a_tc3_guided,A_tc3_t16_guided,16,baked,baked,1,1435
a_tc3_guided,A_tc3_t32_guided,32,baked,baked,1,1431
a_tc3_guided_64,A_tc3_t1_guided_64,1,baked,baked,1,1918
a_tc3_guided_64,A_tc3_t2_guided_64,2,baked,baked,1,1665
a_tc3_guided_64,A_tc3_t4_guided_64,4,baked,baked,1,1550
a_tc3_guided_64,A_tc3_t8_guided_64,8,baked,baked,1,1493
a_tc3_guided_64,A_tc3_t16_guided_64,16,baked,baked,1,1432
a_tc3_guided_64,A_tc3_t32_guided_64,32,baked,baked,1,1411
a_tc3_guided_256,A_tc3_t1_guided_256,1,baked,baked,1,1910
a_tc3_guided_256,A_tc3_t2_guided_256,2,baked,baked,1,1670
a_tc3_guided_256,A_tc3_t4_guided_256,4,baked,baked,1,1544
a_tc3_guided_256,A_tc3_t8_guided_256,8,baked,baked,1,1513
a_tc3_guided_256,A_tc3_t16_guided_256,16,baked,baked,1,1455
a_tc3_guided_256,A_tc3_t32_guided_256,32,baked,baked,1,1448
a_tc3_guided_1024,A_tc3_t1_guided_1024,1,baked,baked,1,1900
a_tc3_guided_1024,A_tc3_t2_guided_1024,2,baked,baked,1,1675
a_tc3_guided_1024,A_tc3_t4_guided_1024,4,baked,baked,1,1556
a_tc3_guided_1024,A_tc3_t8_guided_1024,8,baked,baked,1,1480
a_tc3_guided_1024,A_tc3_t16_guided_1024,16,baked,baked,1,1439
a_tc3_guided_1024,A_tc3_t32_guided_1024,32,baked,baked,1,1439
a_tc3_static,A_tc3_t1_static,1,baked,baked,1,1918
a_tc3_static,A_tc3_t2_static,2,baked,baked,1,1685
a_tc3_static,A_tc3_t4_static,4,baked,baked,1,1547
a_tc3_static,A_tc3_t8_static,8,baked,baked,1,1487
a_tc3_static,A_tc3_t16_static,16,baked,baked,1,1445
a_tc3_static,A_tc3_t32_static,32,baked,baked,1,1431
a_tc3_static_64,A_tc3_t1_static_64,1,baked,baked,1,1957
a_tc3_static_64,A_tc3_t2_static_64,2,baked,baked,1,1694
a_tc3_static_64,A_tc3_t4_static_64,4,baked,baked,1,1539
a_tc3_static_64,A_tc3_t8_static_64,8,baked,baked,1,1478
a_tc3_static_64,A_tc3_t16_static_64,16,baked,baked,1,1450
a_tc3_static_64,A_tc3_t32_static_64,32,baked,baked,1,1443
a_tc3_static_256,A_tc3_t1_static_256,1,baked,baked,1,1940
a_tc3_static_256,A_tc3_t2_static_256,2,baked,baked,1,1662
a_tc3_static_256,A_tc3_t4_static_256,4,baked,baked,1,1543
a_tc3_static_256,A_tc3_t8_static_256,8,baked,baked,1,1480
a_tc3_static_256,A_tc3_t16_static_256,16,baked,baked,1,2550
a_tc3_static_256,A_tc3_t32_static_256,32,baked,baked,1,1419
a_tc3_static_1024,A_tc3_t1_static_1024,1,baked,baked,1,1908
a_tc3_static_1024,A_tc3_t2_static_1024,2,baked,baked,1,1653
a_tc3_static_1024,A_tc3_t4_static_1024,4,baked,baked,1,1528
a_tc3_static_1024,A_tc3_t8_static_1024,8,baked,baked,1,1482
a_tc3_static_1024,A_tc3_t16_static_1024,16,baked,baked,1,1434
a_tc3_static_1024,A_tc3_t32_static_1024,32,baked,baked,1,1528
a_tc4,A_tc4_t1_a_tc4,1,baked,baked,1,1660
a_tc4,A_tc4_t2_a_tc4,2,baked,baked,1,1547
a_tc4,A_tc4_t4_a_tc4,4,baked,baked,1,1496
a_tc4,A_tc4_t8_a_tc4,8,baked,baked,1,1435
a_tc4,A_tc4_t16_a_tc4,16,baked,baked,1,1420
a_tc4,A_tc4_t32_a_tc4,32,baked,baked,1,1449
b_tc1_auto,B_tc1_t1_auto,1,baked,baked,1,9609
b_tc1_auto,B_tc1_t2_auto,2,baked,baked,1,14091
